title,text,symbols
Windows 8.1 for Dummies,"I got this in anticipation of getting a new computer with Windows 8.1. Since I haven't had any exposure to this new system, I thought I might need help. This book lays the ground work for me to get started so that I feel comfortable with setting everything up the way I want it.",
Best Coverstitch reference!,There are not so many books covering the coverstitch machine.  This is really helpful and easy to understand with many illustrations.  This is the best book I've seen.,
Tal is a genius,Its nice to read into the mind of this great mind.,
The Man Who Flies With Birds.,"I am a Canada Geese fanatic, in fact, I wrote an article about them believing they should run the country! With this fascination, I went to my library to find more information about these magical creatures only to find there were no books on the subject (in my library). The Librarian kindly sent me to other books regarding birds and I found The Man Who Flies With Birds in the children's department. I thought it looked interesting and today, started to read it. I couldn't put it down - not since Harry Potter, another supposedly children's book, has anything grabbed my attention. Exquisite photography indeed and the written words were poetic in their scientific genre (don't you hate that word - just couldn't of another one). I was so entranced that I couldn't stop talking about it to my other half - every time I read a paragraph, I had something else to say. He is not a book reader - more of intelligent magazines and The Irish Times - so it was with some amazement that he agreed to take a look. HOOKED! I am ordering it now from Amazon - where else? - so I can have it in my possession before I return the copy I have to the library. I am not even into aviation, have a phobia about birds but am almost hypnotised by them. I was having a conversation some years ago with a man who was interested in retaining my services for a very prestigious conference when three Bald Eagles flew over the lake where we were discussing the event. For as long as the Eagles were there, I was transfixed. He talked - I didn't hear a word. This is exactly how I felt after the very first page of The Man Who Flies With Birds. Exciting, informative, unique and courageous. Not only that, this book and the work researched, saves lives. It is so topical with recent events of crashes due to birds flying into planes. I am always entranced with creativity and this is beyond the norm. Yossi Leshem is a genius. Whilst writing this, my 'to be' 9 year old grandson is to have his birthday in February so I believe I am to purchase two copies - he isn't getting mine. This is a forever in my library book. I am in my 80th year - obviously this book crosses the age perimetres. So, mind the gap and buy the book. I am going to recommend it to my family in the UK and Ireland. They have Amazon there too. Really, I just can't get over this book. Did I give you that impression? It's sensational - really. Would I lie to the great Amazon public. Dr. Yvonne Kaye.",
What's not to like?,"The art is precious, it is fun to read, and the cake recipe is easy and delicious.  My five year old loves this book, and we finally got around to baking and eating the cake recently.  Yum!",
Five Stars,I love her books and will read all she has written.,
MUST HAVE Resource for New Puppy,Excellent book! This covers everything we need to know about getting our new corgi puppy :).Thank you so much Zak George! We also LOVE your youtube videos and your enthusiasm! My girlfriend and I have learned so much from your book and watching your videos,
funny cat,all good,
Smaller than expected,"The book is nice but for the price point, I assumed the book would be a regular size. It's more like a pocket size but it's ok. It still looks pretty",
Great book!,Great book! Quick ship,
Everything I want in an ice cream recipe,"I took advantage of this book being on sale for such a great price after a friend recommended it. With flavors like Bangkok Peanut (peanut butter, coconut, cayenne...) and Roasted Strawberry, I was in. I really like that these recipes don't call for raw eggs like so many ice cream recipes do. Also, the author is very good about telling you where/how to find any unfamiliar ingredients. There is also a great amount of information given about the ingredients, suggestions for brands/sources, and what they contribute to each recipe...If I have to come up with one negative thing about it, it's that sometimes you have to do a bit of flipping around. For example, it'll say to add something, and see the technique for doing that on another recipe, instead of maybe putting it in the appendix with the other techniques. Other than that, I am truly satisfied with this purchase...I'd like to point out that most of the negative reviews seem to be from people who failed to actually READ the book. Yes, most of the recipes call for corn syrup - and the author specifically says that this does NOT mean High Fructose Corn Syrup. If you have a corn allergy or whatever, she also says that tapioca syrup works too, and you can order that on Amazon or find it in Whole Foods. Also, YES, many of these recipes are non-traditional. If you order the book from Amazon and fail to take the opportunity to look at the index, it's not the book's fault that you don't like the recipes in it. There are the traditional chocolate, vanilla, strawberry, etc., but if that's all you want, why are you buying a cookbook?..I'm really hoping I can make it out to Columbus to visit one of her shops!",
One of the best kids books out there,"I first encountered this book at a reading at my local library - it was such a hit that the kids demanded the librarian read it over and over again until she finally had to tell them 'no more'.  The story is simple and sweet and really encourages my 2 daughters to try and read (my oldest, 2 1/2) spells the names of the colors.  It's also a fun book to read, it incorporates rhyme and song, and you Pete's happy, hippy attitude is hard to resist.  Buy this book!",
Story is pretty basic but illustrations are delightful.,"Nothing new or ground-breaking here, just a sweet little story about a shy little squirrel making new friends by attending a party. There are parts which may strike you as a bit clunky and odd-sounding, and I suspect that this might have flowed a bit more smoothly in the original French. For example:.. &#34;..Ant asked the seagull what the vast emptiness of sea and sky was like (Because it's so mysterious...this emptiness!)&#34; Your preschooler won't be the only one puzzled by phrases like that...In addition, much is made of the mysterious 'nothing tart'  which will be served at the party. Ant asks Harry the bear will there be a tart? What sort? Harry says it will be a 'nothing tart'. Next page: ant's mouth waters just thinking about the 'mysterious' nothing tart. Next page: Harry is &#34;still thinking about the nothing tart&#34;. He tells George the owl that &#34;the evening would be absolutely unforgettable because of the wonderful nothing tart.&#34; Next page: George wonders what sort of costume goes with a nothing tart. Several pages later, at the party, ant is speaking &#34;between bites of nothing tart.&#34; That's it. Never mentioned again. Was that supposed to be funny? I don't get it...The best thing about this book is the illustrations, very brightly colored and done in a retro early-1960s style. An extra star just for those. Since Amazon doesn't have &#34;see inside&#34; for this book, I'm including some pics.",
Five Stars,Great Book!,
Again a good story but.... Proofreading abdominal!!,"I noted this in my other review and must now do the same for the last few books. Great story, but a lack of proofreading plagues the book and at least for me it stops me cold and takes me right out of the story and back to reality.",
Five Stars,Great book!,
You MUST read this book,I LOVE this book. I discovered it after doing a devotional on my YouVersion app based on this book. Highly recommend for anyone that can be prone to toxic thoughts. The author explains things in such an easy to understand but powerful way. The quality of the book is great and it shipped quickly!,
This is a very good book,I liked this book because it teaches kids that even when you dislike one of your siblings you will still love them because they are your family.,
Entertaining,"Great, entertaining puzzle book. Wife and I completed it in a day with a few hints but definitely worth the price. Can't wait to get the sequel.",
Informative book,"Examples of research studies, statistics to help patients understand risks, information on dosages and best medications to use for different populations.  Excellent seller, speedy delivery.",
Love it!,This book taught me what two others could not!,
Georgeous,"I love this book nothing like the paper dolls were back in my day, this one is so pretty with glitter on the clothes.  The only thing is that all have to carefully cut out so a grown up may need to help.  You have 6 dolls and can use the skin tone like your self, white or dark and they all just as beautiful as the next.  The little flower girl and ring barrier are so cute.  The brides have a lot of different changes of her wardrobe.  I just love this and it bring back so many memories as when I was a little girl. Wish you could click on the pages of the book and see the details.  Going to play with these with my great-granddaughter we will have a ball.  Thanks to. Tracy McDonald, Customer Care Specialist of Dover Publications.com for sending me this book for my honest review.",
It was ok,"It was ok, but I expected more",
Absolutely soulful!,"What a soulful book.  I laughed.  I cried.  And I learned some philosophy from a dog.  Yes, a dog...I have to admit, when I realized that the main character in the book was Enzo the dog, and that it all takes place from his point of view, I wondered if the story would really maintain my interest.  I needn’t have worried.  It did!..Enzo is a philosopher with a worldview shaped by lots of TV, movies about car racing and the love and protection of his owner, Denny.  (The love and protection is definitely reciprocated!)  Enzo is both naïve and wise and hoping in his next life to be a human with the ability to speak and to use opposable thumbs.  After living inside Enzo’s head, I think he’s ready.  I think he should graduate.  He’d be a human I’d like to know...There were so many quotable quotes in this book, so many bits of philosophy that I just loved.  Here’s one of my favorites:..“But my thoughts turned to what [Denny] had just taught me.  Such a simple concept, yet so true:  that which we manifest is before us; we are the creators of our destiny.  Be it through intention or ignorance, our successes and our failures have been brought on by none other than ourselves.”..I’m torn with whether to call this book a pleasant read.  I somehow don’t think “pleasant” applies as there are some really tough times that Denny and Enzo go through.  On the other hand, as I finished the book and tried to think what to say about it, I was steeped in satisfaction with the arc of the story and I will miss Enzo.  I want to drop my hand toward the floor and feel him nuzzle it.  So maybe pleasant is the right word...Kudos to the author for making me care so much about the “people” in this story – and yes, I include Enzo in that term.  I recommend this book to anybody who wants to see the world through the big brown eyes of simplicity and love.",
Not just a Thanksgiving goodie,"While I ordered this for Thanksgiving, it is certainly a lesson for any time of the year, and, for many ages! Loved it. So did my grandsons.",
It is supposed to be great  But...,I do not know.. I am having a hard time with the narrator's pace and her voice . After the first part just  to be fair I started over .  I'm giving it another chance and going back to beginning ..  Still not sure if I'm wasting my time.  I read and write a lot  But at this point I'm going to say  not so good so far .and give it up.,
Great book for kids!,"We got this book after first buying &#34;Falling for Rapunzel&#34;. They are so cute and witty, they're even fun for us to read to the kids so bedtime stories aren't quite as tedious.",
These books are so well worth the money,"I want to own the whole lot of them.  They are well thought out and of high quality in both content and production.  My 11 year old son has learned more about Einstein than most people from reading the 30 second Theories book.  Wonderful, every household should have a set!",
So much better than using junk mail for bookmarks!,"I decided my books deserved something better. These booklets of bookmarks do the trick. They are inexpensive, pretty and have good vibes. They also make nice gifts.",
Book,Excellent Product. #####,
An alright read,"I have never read Rob Thurman before, and after reading this book, I'm not really sure if I'll be reading anything else by her. I would say that this book is about a 3.5, it was a good read, definitely plenty of action and excitement, it just wasn't anything spectacular. This book sorta read like an overly packed action movie. Jackson is a guy with a loaded and trouble past which has left him bitter, scorned and resentful. But that is all there is to him. That's it. I can see the hurt from his past, and yes his snarky comments made me laugh half of the time, but the other half they just annoyed me. The rest of the characters really didn't make an impression on me either. They all felt two dimensional. Yes this book had good plot, but without a strong build of characters your story really falls flat. I will say that I was surprised at the end and the mystery of the killer was not someone that I would have chose, but maybe if I thought hard about it it would seem obvious...anyway, maybe next time I read one of her books I'll loan it from the library..",
Quick Read,Very nice book. I’m always interested in anything Everest or the surrounding area. I’ll have to try some of his other books!,
"Yummy, but NOT fast!","I've enjoyed everything I've made from this cookbook. The recipes are full of spices and fresh herbs and I have to say, they're really good. But they definitely aren't fast. And not cheap either. My grocery bill was really high when I cooked dinners from this cookbook exclusively. Now I cook one or two meals from this book each week, and it's much more reasonable for my wallet and my time. They are good recipes though! And I learned a few tricks in the front section that I always use, like roasting nuts before putting them in a recipe. Yummy!",
Lourdes is super!,"This is the perfect book for children who have parents from Central or South America and North America.  It is so effective in showing them why they are so special to be children whose parents come from different ""worlds"".",
Good not great,"I was worried at the start that this would be too YA for me but despite it's YA moments (AKA ""mom loves Johnny more"") it's a very interesting book.  Describing how life changes as the world comes to an end through a journal really brought the story home.  It seemed a bit strange that everyone was taking it so well at the beginning and even days after it happened there wasn't mass panic.  That seemed a bit unrealistic to me but otherwise I think it was a very good tale.  The rest of the books might not at the top of my ""to read"" list but the rest of they are definitely on it!",
Great First Reader!,This book will always have a place in my heart as it is the 1st book I learned to read by myself!.Am so glad it is in print to share with my grandchildren as they are learning to read!,
There are many better 'art history' books.,"""The History of Art"" by Janson Used by Rice U. (cheap used). ""Art History"" by Gardner used by S.F.Art inst. either one is 100 times better. Bought this looking for something new/inspiration. It is okay, not any full page color plates. It was not inspirational.",
Great product good quality,Great product good quality,
Oh wow!,"I'll admit, I don't remember Hunter in either of Vaughn's or Knight's books. But that's ok. Sorta as there was one point I really wish I remembered...Ok. So! I hated him for like the first 20+% I'm not a fan of man-whores. His only redeeming factor was that at least he made sure his ladies were satisfied. A selfish man-whore will get me to DNF...BUT THEN..... Sailor and her strong self made me love him so much. SO SO SO much...I highlighted more parts of this book (14) then any other book I've ever read. Not just a sentence or two, sometimes whole paragraphs...At about 79% I just couldn't put it down. We have a no electronics rule at the dinner table and I about BROKE that rule. I don't think I've ever eaten so fast so that I could get back to my book...Did an audible listen. I just can't get enough of Hunter. The wait for the next book(s) is killing me. Jason Clarke did not disappoint. Though Virginia Rosa sounded to old to be Sailor. In the beginning it was hard to listen to, but by the end it became normal. Yet still she sounded to old. I swear Jason Clarke could easily 'cat fish' everyone with the way he can change his voice. AMAZING.",+
Good book,Read it again and again.,
Another awesome book! A must buy!,"To be honest I just got the book today. Somehow I got the book early at a Christian bookstore. I don't know how but I thank God for providing. I have not read this book, but instead have glanced through it and as well read pieces of the books. I must say it is as good as Vintage Jesus in giving us a practical but deep Biblical understanding into matter. This book goes through how to be a loving church, to being a missional church. If you got Church Leadership by Mark and you liked it. You are going to love this book. It takes that book and expounds greatly into things and adds new things that anyone who has a passion for the church and church planting would and should devour. This is a great book and I can't wait to read this thing cover to cover...Plus if Mark Driscoll is reading this thanks for letting God use you.",
Good purchase,A favorite in our house.,
A Small But Happy Mini-Calendar,A really happy calendar.  Every year I order one to record all of the birthdays and anniversaries in my large family.  This one hangs on my bathroom wall.  Mary Engelbreit is a talented artist!,
Fun story,I don’t usually read romance novels but did enjoy this. The mystery part of the story was well written. I didn’t expect the culprits till almost the end. Fun read.,
"Convoluted, murky story with stilted writing","I could only read half of the book.  When she spent a very long chapter on the back story of a casual acquaintance of the grandfather of the protagonist, I felt the author was undisciplined in controlling her story.  Yes, there are flashes of eloquent prose.  But the story is herky jerky and she gets sidelined and off on a tangent far too frequently.  As she matures as an author I expect this problem to dissipate.  But this book is just a poor first attempt by a budding young author.",
One Star,"Horrible, Blasphemous, Filthy, and Disgusting. DO NOT BUY!!!",
Fascinating character and engaging story,"I really enjoyed this audio book. The narrator is excellent. The story is easy to stay engaged in and follow. I found the character fascinating and the tie in to many characters that are canon, to be well integrated...I wish this book was canonized and that if Disney decides to add to this character, that they consider using this book as a good reference and try to incorporate as much of this into canon as possible.",
Way underpriced for how cute it is!!,This was so cheap so I didn’t have high expectations but it’s AMAZING! The stickers can be removed and replaced without tearing or tearing the pages of the book. My 3 and 6 year olds have had an absolute blast with these and they actually create beautiful pictures! Great for long car rides!,
Love this book!,I have had to buy this twice..loaned it out and people love it and kept it. I have a close eye on it now. When my son was younger he was a not-strickly vegetarian..at 23 he still eats that way. This book was a go to book then and still is now.,
Great toy!,My kids really liked it and played with it for hours.,
I got this from the library Girls would really enjoy it,"I got this from the library Girls would really enjoy it &amp; it's a good resource for youth leaders &amp; teachers (a good tie in for social studies)..Contents include:  a quill pen  *  berry ink  * walnut ink  * wax seal  *  game of graces  * cup &amp; ball  *  kite  * folding fan  *  fancy strawberry hat  *  cross stitch sampler  *  sachet  *  friendship pincushion  *  tussi mussie  * pomander ball...The only things I thought were missing were jewelry crafts: seed jewelry, dried flower jewelry &amp; paper bead jewelry (I have my great-great grandmother's paper bead &amp; seed bead  necklace she made from left over wall paper) - these were common crafts, especially for young girls of the time to make as &quot;real&quot; jewelry was considered inappropriate for girls to wear..If you want to know if this book is for you, go to your local library. If they don't have a copy there is always the option of the Inter-Library Loan procedure (books usually take about 3 weeks to arrive). I almost always preview books from the library before purchasing ... it has saved a lot of disappointment",
An Almost Excellent Boston Guide!,"The Frommers's Guide to Boston and it's surrounding area is quite useful, informational, and ideal for those coming to Boston for the first time or hundredth time. Boston is very historic, enlightening, and a worldly city. The book is done well but it can be done better for those of us who would like to know Boston and it's neighborhood...Boston has attracted all kinds of people like Julia Child who is missing from the text. She was based in Cambridge, Massachusetts and I wished that she was written more about here. She remained in Cambridge for decades even with the success of her shows and books. Cambridge has also attracted actor John Malkovich as well in recent years as well as other famous and notable residents. In Julia's book, she decided with her husband to settle in Cambridge after they returned from Europe. I wished the book would have acknowledged Julia Child's contributions to American cuisine, television history, and American culture...I also wished the book mentioned Brandeis University in Waltham, Massachusetts as well but it doesn't. There are lot of important facts and information about Boston that isn't here. I loved the film section about what films in recent years especially ""The Fighter"" in Lowell and other notable films...I liked the book's acknowledgement of cemeteries where famous Americans such as Louisa May Alcott, Nathaniel Hawthorne, and others have been interred. Boston is about American history as well as about sports. I visited Boston when Ted William died around 4th of July and he was honored with the flag at half staff at the Capital building. He was an American baseball legend and a beloved Boston Red Sox player...We stayed at a Doubletree hotel near JFK/Massachusetts General area. The book is almost excellent and could use some constructive and positive criticism. I also think the book could have done more on Cape Cod for day trips. Still, you won't be disappointed with this guidebook.",
gift,gift,
Allan Kardec un hombre eminente y espiritual,"Historica biografía de Allan Kardec, codificador del Espiritismo Ciéntifico. Un Maestro humilde y altruísta; que sufrió la persecución del clero, los ateístas y los charlatanes..Refleja su sacrificada vida en pos de su doctrina espiritual y los escollos que tuvó que superar, que le acortarón su existencia. Su divisa era que sin la Caridad Cristiana no hay salvación. Y le daba más importancia al estudio ciéntifico y el amor por el prójimo que a la práctica efímera de la mediumnidad como un método de mera curiosidad y explotación egoísta.  Enfatizaba la moralidad, la oración y la fraternidad Universal.",
What a great book for kids Gets the point across without being ...,What a great book for kids  Gets the point across without being preachy or overly specific  Also just about anything John Oliver and Last Week Tonight makes is great.,
Ok.,"Glad I read the second book in the series first. This one was not as good. Some editor needs to do a ctrl-f for ‘static’ and delete at least 75% of the references. Even so, the main character’s motivations are understandable and relatable. I’ll read book three to see where this goes.",
Full of imagination!,It's just like being right with Anne and experiencing life at Green Gables. Smiling with all tbe wonder and crying with her when they lost Matthew. A very good read.,
My daughter enjoyed reading this book,Another book on the summer reading list.  My daughter enjoyed reading this book.,
Interesting and informative,"This book is very interesting and useful. My brother has recently started taking an interest in hiking and camping, so I thought this would be a good book to help him learn more about the plants around him.",
Five Stars,gave this with a package of pencils and hav;nt heard from the child as yet,
I buy this calendar every year!,"I had a hard time finding this in the mall that Christmas, so was excited to find it available on Amazon.  I've bought this calendar for my Grandmother every year for X-mas for as far back as I remember.  Classic, cute and she loves it!!",
A stunning tale of a woman's journey to a better life while maintaining her intolerance of the social injustices of her htime,"One reason I gave the rating is because there were so many ""keepers,""sentences and passages that grabbed me because they articulated truisms in a way I hadn't thought of before. The story is a good one. Ready the NYT review",
Five Stars,These coloring books are great. Simple and great.,
Wonderful Novel for a 13 Year Old,"This is a wonderful novel.  I am giving it to my godchild, who is turning 13 this year..I read this novel years ago and recently reacquainted myself with it.  I taught 5th grade for many years and this novel was a favorite in many of my classes.  I would use it during “read aloud” time in my classes.  The language was a bit advanced for my students, but they became wrapped up in the story and a lot of them checked out the novel from our library to read it after we finished it as a class.  There is something about a good book that makes you want to re-visit it again!",
Five Stars,Perfect.,
Passed the test,This book helped a lot and was very easy to read. Memorizing the ports from one of the tables helped answer at least 4 of the questions on the security+ exam. Only thing not in the book were the simulation questions. I think I got most of them right with the information provided from this book,+
Familiar places,"Mr. Gaines writes aboout places and people who my family readily recognizes. We are first generation Californians and our family base is in Louisiana. All the places,faces and social situations are so familiar that  in my lit class I was able to answer questions from other students.  This  book is wonderful reading. If you want a sense of Louisiana without the  travel time, read anything written by Ernest Gaines.",
... of the 39 Clue books are very exciting and wonderful to read,All of the 39 Clue books are very exciting and wonderful to read.  I started my nephews on them and I have read each and every one right along with them and they are great!,
GORGEOUS,I love this book and this illustrated version fills my heart with happiness!,
This one pays beautiful homage to the Alice Network.,"What I Didn’t Like:.-Charlie’s chapters. They felt almost repetitive and unnecessarily fluffy. I suppose they exist mostly to break up the heaviness of the topics addressed in the rest of the book, which is important, but they just don’t give the same sense of urgency and excitement as Eve’s chapters..-The math “equations” forced on everything. As an actual math geek myself, I can say it’s incredibly unlikely you’ll find us making statements like “me plus him minus morals equals …”. We tend to feel operations have weight and value, meaning we’re less likely to throw them around in ways they weren’t intended for. But maybe that’s just me. Either way, it annoyed me that Charlie kept doing this..-The ending. If you’ve been following my reviews for a while you know I’m the kind of reader who likes endings that don’t lay it all out for me and instead keep me thinking and guessing long after I finish the book. I realize I’m in the minority there. That being said, this final chapter (epilogue) felt unnecessary to me...What I Did Like:.-The historical research involved in this one added a wonderful sense of accuracy that this tale needed. The Alice network was real. Many of the women mentioned are based on real people and their real stories. This was an excellent retelling of their challenge, specifically Eve’s chapters. This is 100% of the reason this book is recommended by so many people and passed around so frequently. It’s an important part of history well researched and embedded..-High tension. Eve’s chapters ran with an intense sense of urgency that kept my interest and kept the story moving. I felt myself pulled to continue reading just to find out what happened next. She was captivating and compelling right from the first scene she popped into..-The romance side storyline worked. I don’t always say that and I definitely don’t think it was entirely necessary (not every story needs a romance) but this one works. It’s believable and it works for this story...Who Should Read This One:.-Historical fiction fans, specifically those who want something different from WWI or WWII fiction that already exists. This emphasis on the Alice Network makes this one refreshingly different from the rest of the offerings out there...My Rating: 4 Stars.Solidly researched historical fiction makes me happy.",
Doreen Virtue-Assertiveness for Earth Angels,Great book on how to live a better life as a Earth Angel..Doreen is a very insightful teacher in understanding Angels and their place in this physical world...A good read for anyone interested in this subject.,
Does the job.,Great workbook like always!,
Na,Gift she loved it,
Phenomenal.,"Phenomenal book. One part how to guide, one part reflection. How to make bonds with your patients to help them be whole, even when you can’t heal or cure. It’s changing my bedside practice.",
To the Land of No Homes,"Yes, that title is symbolic. This short novel can be read in a sitting. It takes a mock-medieval style to report, from alternating and eventually contrasting narrative voices, what happened on an episcopal mission commanded by the Pope to reclaim the Norse lapsed into heathenry in faraway Greenland...It's more of a conceit than a full-fledged work. Hester Velmans' translation may capture the starched, satirical, and savage qualities of the original French, but the effort feels fussy and overly stylized in English. So does the effort to which the author strains to capture the tone of a chronicle or correspondence, given the friction of the attempt to counter the wiles of the Inuit, here titled &#34;publicans,&#34; who lure the dwindling Norse into their seal-hunting, sexually suspect and sinful mores...A few good lines show the potential. Early on, frostbite claims victims on the bishop's ship. Having been forbidden to eat their own rotting flesh to survive, one shipmate rebels. &#34;One of them replied that the season was not Lent, and proceeded to devour his own toes.&#34; I admit I liked some of the dour and deadpan recitals of increasing woe, as the rescue attempt to scare and shame the Norse back to Christian fidelity, compared to the odd temptations of dissolute abandon among the natives, lure the Catholic contingent into their compromises, to survive in New Thule increasingly hostile threats.",
Four Stars,My class just loves these books. They make Shakespeare more accessible to them.,
They are reading,Helps me out great,
Five Stars,As always the dummies are very good and well written,
Five Stars,Great book and great series. I could not put them down.,
Five Stars,great,
Fun for skylander lovers,I bought this for my son for Christmas as an addition to the game. He enjoyed the stickers a lot.,
"Interesting historical setting, mildly intriguing characters","I'm always eager to find new historical mysteries, and especially series of same; but I'm not sure whether I'll read the next two books in this series (or however many have been translated so far)...I suspect that part of my problem lies with the translation, though there's no obvious problem with it. There's something about the progression from scene to scene that didn't quite work for me. I also found it very difficult to keep the characters straight -- even though the names of Danes, Saxons, and Vikings presumably had different origins, they were mostly unfamiliar (or only slightly familiar) and largely composed of vowels. . . ...I didn't dislike the narrator, but I did find his preoccupation with nubile young women a bit annoying at times. His sometimes deadly pragmatism did intrigue me, and I mostly enjoyed his sense of humor. As for Winston, the illuminator turned detective: I liked the idea that a habit of close attention to detail could be transferred from artistic to other uses, but there was something that didn't quite work for me about his transitions from one hypothesis to another...I did appreciate the chance to learn a little about an era in English history with which I was almost entirely unfamiliar. If I return to this series, that'll probably be why.",
Love,Love Laurell K. Hamilton,
Intercultural communication - the book,"This fantastic work is pretty much cross-cultural communication: the book. The beautiful (and beautifully illustrated/designed) story follows a bird and fish from intial cultural collision to eventual intercultural communication, highlighting both the adventures and the adversities that such explorers encounter.  I'm using this with my ESOL students - an absolutely beautiful book.",
Fun and easy read for adults.,"This book was a great read.  It’s something you can choose to read a chapter at a time if you’re in a hurry (no major cliffhangers at the end of every chapter), or something that will keep you engulfed if you are wanting to read a book over a relaxing weekend.  There were times I could relate to the character, and that made me more emotionally connected to him.  My only warning to future potential  readers, is if you don’t like fowl language, or knowing what goes on in every man’s head (hint: sex), then you may want to steer clear of the book.  But if your looking to read a fun, quirky, relatable book, this is a good choice.",
Review,"I loved it, the book had enough suspense and mystery to keep me glued to the page.  Just as Bill Rogers previous series with DCI Tom Canton was really good, I believe this new series will be just as good, if not better.  I highly recommend this book to anyone who enjoys a good mystery.",
its ok,I don't know was very slow going and not a lot of paranormal its more of a story of a woman dealing with life after a bad breakup becoming her own person,
Great eBook!,Great formatting - fits the page on my Galaxy Tab 2 7.0 tablet.  Text is sharp and scanned etchings are clear and impressive.  It was quite the enjoyable experience reading this version of the Rime of the Ancient Mariner.,
great book,wish I have ordered it sooner. great for first time parents. It's hard cover which mean it will last a long time. Book is carefully categorized by age so easy to navigate to where I want to read (my son is 13 month old).,
nice reference material,still have it in my library as a go to if dont understand whats on screen or in novels,
Amazing read!,Amazing read! Captivated my mind. WARNING....don't read before bedtime or else you'll have insomnia! You won't put the book down so you'll stay up trying to read it...lol,
Five Stars,Mmmmm good,
Dirty Truth,This is the second book in the Irish Mafia series - it is a standalone but a highly recommend reading the first book Dirty Liar.  I think you get a better appreciation for this one after you've read the first.  Plus you get to fall in love with both Flynn brothers.  One on the wrong side of the law and one straight-laced lawyer.  But family is family and when you are called to step in you just do it.,
A Great Arm chair adventure.,Really enjoyed this first novel.  A page turner.  A nice adventure without leaving the house.  So many familiar names and places for anyone who lives near or enjoys traveling to and around Western North Carolina and the Great Smokies,
4 year old loves it,"My 4 year old really loves this book he laughs at the pigeon, however my 3 year old doesn’t care for it much maybe because he’s a tad bit younger. This is my 4 year olds favorite book",
Best cookbook I own!,"This is the ""Joy of Cooking"" for the next generation-not only does it give you the best way to make just about everything, it also provides variations and for those of you who are interested in the ""how"" of calling something the best recipe, it goes into wonderful detail of the process! Great technique descriptions and delicious recipes that are almost guaranteed to turn out perfectly-I highly recommend this book!",
Good Product,"This book was in good shape, no problems.",
Excellent Addition,This was an extra book I purchased for my class.  it was a great addition to my class books.,
Good read.,This book is surprisingly deep.  Excellent analogies.  I have a very short attention span and often don't finish books.  I've actually copied & pasted parts of it to share with friends.,
The First Three Great Books in a Great Series,"Chase - What happens when two young lovers who were torn apart are thrown back together after ten long years?  This is a great book about 2nd chance romance and what ""can be"" when obstacles are overcome...Abe - What a pleasant surprise this book was!  I instantly fell in love with Abe and all his little quirks.  Boy do the ""big ones"" fall hard when they meet ""the one"" and it turns out, Mercy was Abe's perfect ""one""...Torin -  I was glad to finally get to read Torin's story and I was very pleasantly surprised because I had totally built up a different man and story from what actually happened.  I loved this book and was so glad Torin got his HEA because of all the Savage Kings, I believe he deserved to have one.  The character of Lexi turned out to be another pleasant surprise and the chemistry between her and Torin was fantastic.  Again, I had a different image of how it would be when these two finally met and boy did Lane Hart come through with a fantastic storyline.",
"Not as entertaining as I had hoped, but I ...","Not as entertaining as I had hoped, but I think it helped my son to see other teens talking about real issues.",
Great Product,In great shape and used in college.,
"Ridiculous, Frustrating, Worth Reading!","Yet another good, and quick read.  The Jack Reacher series continues to be entertain, even though his powers of deduction are borderline ridiculous, and his secrecy is frustrating.  This story is a little different from the previous 4, and the time line is a little cloudy (amount of time passing during drives and so forth), it's still worth reading.",
Fun Rhyming Book,"This is a colorful, rhyming book.  Llama Llama doesn't want to start school.  He doesn't want to play with the other children or eat the snack.  A big tear runs down his face when he thinks of his sweet Llama Mama.  His zebra teacher tells him she's coming soon.  When Mama finally arrives, she and Llama Llama joints him on the playground.  You sense Llama Llama is going to be happier about going back to school the next day because now he knows Mama won't forget to pick him up.  Good book for preschool, day care, nursery or kindergarten students.",
Great book,"Note: this is a new adult book and it deals with mature themes such as rape, and explicit sex...Going Under is beautifully written. I was really moved by the writing in this book. S. Walden did an amazing job evoking emotion with her writing. Brooke is such a strong young lady. Even though some of the things she did were pretty dangerous and I wouldn't recommend her course of action, I completely understand why she felt like she needed to. I can't even imagine losing my best friend the way she lost hers. This book is about her journey really. Sure, there is also the ""secret club of jerks"" storyline that she is trying to get to the bottom to, but for me it was much more about justice for Beth and closure for Brooke...Brooke is completely weighed down by her guilt for most of the book. She feels responsible for her best friends death because of certain things that happened before her death. But no one else blames Brooke. She only blames herself. And because of this guilt she hatches a plan to avenge Beth. And she spends most of the book figuring out a way to do it. Along the way, she meets Ryan and they seemed like magnets. They were instantly drawn to each other. Even though they both tried to keep their distance, they just couldn't stay away for long. But Ryan and Brooke each had their own secrets. (just like everyone else at the school, it seemed). There were a few twists and turns and theories thrown around at various points in the story but I thought it was pretty clear what was really going on. There wasn't too much mystery surrounding the secret club, but I still loved the way the story flowed...Nothing felt forced, or rushed. The writing was descriptive and beautiful really. Going Under is a very powerful book. The strength that you see in Brooke is beautiful. She is someone that you are rooting for the whole time. I just loved her. Going under deals with some pretty mature and dark themes and there is some graphic scenes but it is just a great book. One that I would re-read for sure...*Disclaimer- I received a copy of this book for free in exchange for my honest review. I was not compensated for my thoughts.",
Only bad thing I can say about Grisham is that I ...,Only bad thing I can say about Grisham is that I was hoping for more story. (tongue in cheek).  Otherwise a great short story of how the duo started.,
Great travel hints for Copenhagen,Great book for hitting the highly guts of Copenhagen. I plan to take it with me on vacation for a reference,
